2400
(-8.000000, -9.000000, -576.000000) (-8.000000, -9.000000, -576.000000) (0.000000, 0.000000) 
(-7.000000, -9.000000, -441.000000) (-8.000000, -9.000000, -441.000000) (0.000000, 0.000000) 
(-8.000000, -8.000000, -512.000000) (-8.000000, -9.000000, -512.000000) (0.000000, 0.000000) 
(-8.000000, -8.000000, -512.000000) (-8.000000, -9.000000, -512.000000) (0.000000, 0.000000) 
(-7.000000, -9.000000, -441.000000) (-8.000000, -9.000000, -441.000000) (0.000000, 0.000000) 
(-7.000000, -8.000000, -392.000000) (-8.000000, -9.000000, -392.000000) (0.000000, 0.000000) 
(-8.000000, -8.000000, -512.000000) (-8.000000, -8.000000, -512.000000) (0.000000, 0.000000) 
(-7.000000, -8.000000, -392.000000) (-8.000000, -8.000000, -392.000000) (0.000000, 0.000000) 
(-8.000000, -7.000000, -448.000000) (-8.000000, -8.000000, -448.000000) (0.000000, 0.000000) 
(-8.000000, -7.000000, -448.000000) (-8.000000, -8.000000, -448.000000) (0.000000, 0.000000) 
(-7.000000, -8.000000, -392.000000) (-8.000000, -8.000000, -392.000000) (0.000000, 0.000000) 
(-7.000000, -7.000000, -343.000000) (-8.000000, -8.000000, -343.000000) (0.000000, 0.000000) 
(-8.000000, -7.000000, -448.000000) (-8.000000, -7.000000, -448.000000) (0.000000, 0.000000) 
(-7.000000, -7.000000, -343.000000) (-8.000000, -7.000000, -343.000000) (0.000000, 0.000000) 
(-8.000000, -6.000000, -384.000000) (-8.000000, -7.000000, -384.000000) (0.000000, 0.000000) 
(-8.000000, -6.000000, -384.000000) (-8.000000, -7.000000, -384.000000) (0.000000, 0.000000) 
(-7.000000, -7.000000, -343.000000) (-8.000000, -7.000000, -343.000000) (0.000000, 0.000000) 
(-7.000000, -6.000000, -294.000000) (-8.000000, -7.000000, -294.000000) (0.000000, 0.000000) 
(-8.000000, -6.000000, -384.000000) (-8.000000, -6.000000, -384.000000) (0.000000, 0.000000) 
(-7.000000, -6.000000, -294.000000) (-8.000000, -6.000000, -294.000000) (0.000000, 0.000000) 
(-8.000000, -5.000000, -320.000000) (-8.000000, -6.000000, -320.000000) (0.000000, 0.000000) 
(-8.000000, -5.000000, -320.000000) (-8.000000, -6.000000, -320.000000) (0.000000, 0.000000) 
